총 전입 횟수 : 6209323번
경우의 수 : 289개
전라북도 -> 경기도 : 14282번
충청남도 -> 광주광역시 : 1261번
충청북도 -> 충청북도 : 131580번
충청남도 -> 충청남도 : 162239번
대전광역시 -> 서울특별시 : 12229번
충청남도 -> 전라북도 : 4568번
경상남도 -> 광주광역시 : 1171번
인천광역시 -> 충청북도 : 3339번
세종특별자치시 -> 부산광역시 : 455번
세종특별자치시 -> 대구광역시 : 361번
부산광역시 -> 세종특별자치시 : 700번
전라남도 -> 경상북도 : 1509번
전라남도 -> 대전광역시 : 1646번
대구광역시 -> 대전광역시 : 1896번
경상북도 -> 강원도 : 3045번
인천광역시 -> 인천광역시 : 238183번
부산광역시 -> 인천광역시 : 2332번
충청북도 -> 경기도 : 18670번
경기도 -> 충청남도 : 29391번
세종특별자치시 -> 전라남도 : 396번
대전광역시 -> 부산광역시 : 1521번
전라남도 -> 서울특별시 : 11010번
경기도 -> 전라북도 : 11938번
강원도 -> 전라남도 : 987번
경기도 -> 강원도 : 23725번
세종특별자치시 -> 전라북도 : 725번
대전광역시 -> 대구광역시 : 1278번
부산광역시 -> 경상북도 : 8554번
전라남도 -> 세종특별자치시 : 549번
경상북도 -> 전라남도 : 1364번
경상북도 -> 충청남도 : 3550번
강원도 -> 충청남도 : 2606번
대전광역시 -> 대전광역시 : 120238번
충청남도 -> 강원도 : 2327번
전라남도 -> 강원도 : 1185번
광주광역시 -> 울산광역시 : 223번
경기도 -> 광주광역시 : 6043번
경상북도 -> 대구광역시 : 31740번
경기도 -> 인천광역시 : 50263번
전라북도 -> 인천광역시 : 2752번
경상북도 -> 부산광역시 : 7977번
부산광역시 -> 대전광역시 : 1859번
세종특별자치시 -> 대전광역시 : 5105번
충청북도 -> 부산광역시 : 1355번
제주특별자치도 -> 제주특별자치도 : 57970번
대구광역시 -> 제주특별자치도 : 1098번
강원도 -> 부산광역시 : 1496번
충청북도 -> 충청남도 : 5607번
제주특별자치도 -> 경기도 : 6588번
전라북도 -> 광주광역시 : 4849번
서울특별시 -> 강원도 : 17293번
제주특별자치도 -> 경상북도 : 1054번
인천광역시 -> 강원도 : 4359번
경상북도 -> 제주특별자치도 : 1038번
울산광역시 -> 전라남도 : 773번
경상남도 -> 전라남도 : 3669번
전라남도 -> 부산광역시 : 2600번
대구광역시 -> 부산광역시 : 4441번
인천광역시 -> 전라북도 : 2575번
서울특별시 -> 인천광역시 : 33653번
대구광역시 -> 경기도 : 11760번
대구광역시 -> 전라남도 : 851번
전라북도 -> 세종특별자치시 : 1105번
세종특별자치시 -> 제주특별자치도 : 200번
제주특별자치도 -> 인천광역시 : 1433번
경기도 -> 전라남도 : 10926번
서울특별시 -> 서울특별시 : 809201번
제주특별자치도 -> 광주광역시 : 769번
충청북도 -> 제주특별자치도 : 675번
인천광역시 -> 세종특별자치시 : 753번
인천광역시 -> 대전광역시 : 2014번
경상북도 -> 충청북도 : 3786번
인천광역시 -> 경상남도 : 2278번
경상북도 -> 전라북도 : 1200번
인천광역시 -> 서울특별시 : 28402번
제주특별자치도 -> 전라남도 : 1047번
서울특별시 -> 경기도 : 248409번
울산광역시 -> 충청남도 : 1357번
대전광역시 -> 전라남도 : 1352번
경기도 -> 제주특별자치도 : 7370번
울산광역시 -> 전라북도 : 483번
광주광역시 -> 대구광역시 : 465번
충청남도 -> 경기도 : 29687번
광주광역시 -> 제주특별자치도 : 810번
제주특별자치도 -> 대전광역시 : 635번
제주특별자치도 -> 경상남도 : 1497번
부산광역시 -> 서울특별시 : 18039번
경상북도 -> 울산광역시 : 5623번
